147.45.42.122:443#FR [优选高速 140.03ms]
144.91.85.183:8443#FR [141.16ms]
207.180.252.131:443#FR [143.51ms]
147.45.68.123:443#FR [146.61ms]
109.120.178.155:443#FR [146.96ms]
217.60.63.211:8443#FR [149.52ms]
149.33.1.252:443#FR [150.71ms]
15.188.50.74:443#FR [151.02ms]
109.123.240.251:443#FR [151.64ms]
161.97.172.134:443#FR [153.12ms]
212.113.119.194:443#GB [143.43ms]
138.124.61.149:443#GB [优选高速 146.53ms]
78.153.130.209:8443#GB [151.05ms]
213.108.20.161:443#GB [151.57ms]
18.170.77.148:443#GB [152.28ms]
46.226.162.235:443#GB [153.12ms]
147.45.71.64:443#GB [153.22ms]
77.221.155.76:443#GB [153.59ms]
138.124.50.117:443#GB [154.1ms]
78.153.130.229:443#GB [154.8ms]
149.104.6.78:8443#HK [优选高速 54.77ms]
47.83.14.42:8443#HK [优选高速 55.09ms]
8.223.63.189:443#HK [优选高速 56.11ms]
149.104.4.249:2053#HK [58.59ms]
206.237.21.224:443#HK [优选高速 58.77ms]
124.244.50.35:443#HK [优选高速 59.25ms]
144.79.11.202:8443#HK [优选高速 61.34ms]
149.104.4.252:443#HK [61.66ms]
149.104.5.93:443#HK [61.84ms]
185.216.118.13:443#HK [优选高速 62.19ms]
5.181.2.78:8443#HR [173.01ms]
185.156.110.153:443#HR [175.26ms]
5.181.2.71:443#HR [181.97ms]
5.181.2.41:8443#HR [189.92ms]
5.181.2.248:8443#HR [261.21ms]
5.181.2.41:443#HR [277.35ms]
180.149.37.38:8443#HU [259.1ms]
77.91.72.13:443#HU [1220.22ms]
91.219.238.217:8443#HU [1228.37ms]
202.155.18.38:8443#ID [230.55ms]
156.244.1.250:8443#ID [380.74ms]
3.252.156.154:443#IE [166.18ms]
52.19.138.237:2053#IE [169.25ms]
198.55.103.37:443#IE [315.2ms]
107.172.145.153:443#IE [323.3ms]
192.71.27.237:443#IL [201.55ms]
80.178.58.56:443#IL [216.16ms]
185.239.48.217:443#IL [241.64ms]
185.239.48.252:443#IL [258.88ms]
185.239.48.55:8443#IL [261.07ms]
94.131.114.73:443#IL [262.05ms]
64.176.170.68:8443#IL [275.85ms]
13.126.35.51:443#IN [优选高速 154.13ms]
